table_id,platform,banner,category,unweighted_n,effective_n,weighting_deff
T01,Facebook,Total,Total,7135,2954.010334992966,2.4153605407128644
T01,Facebook,Age,18-29,433,236.8581326310208,1.8280985127689509
T01,Facebook,Age,30-49,2351,998.6142543673734,2.3542624088511226
T01,Facebook,Age,50-64,2154,1178.0860486127963,1.8283893630149923
T01,Facebook,Age,65+,2184,1250.7550374715586,1.746145275908723
T01,Facebook,Gender,A man,2833,1079.912619893709,2.623360397694806
T01,Facebook,Gender,A woman,4255,1907.5953133270857,2.2305569584246596
T01,Facebook,Gender,In some other way,36,18.413605380437744,1.9550761111805783
T01,Facebook,Education,College graduate+,3440,1809.1422334565696,1.90145359297013
T01,Facebook,Education,Some College,2313,985.0307034240157,2.348150156091477
T01,Facebook,Education,H.S. graduate or less,1359,654.4868514109504,2.076435908636288
T01,Facebook,Region,Northeast,1174,501.55926458763014,2.340700457333261
T01,Facebook,Region,Midwest,1591,671.6025500629254,2.3689606298411645
T01,Facebook,Region,South,2849,1132.812816922353,2.5149786067394757
T01,Facebook,Region,West,1518,650.7576949334261,2.332665463380029
T01,Facebook,Income,Lower income,1646,642.9143792242787,2.5602164972356265
T01,Facebook,Income,Middle income,3512,1581.5734774042176,2.220573403749869
T01,Facebook,Income,Upper income,1593,918.046012145376,1.7352071453121702
T02,Facebook,Total,Total,7136,2951.743020734123,2.4175546278500955
T02,Facebook,Age,18-29,432,236.45670985959362,1.8269728960388507
T02,Facebook,Age,30-49,2350,999.0245943902632,2.352294441193693
T02,Facebook,Age,50-64,2157,1169.1742017936253,1.8448918875313491
T02,Facebook,Age,65+,2184,1250.5254070248122,1.7464659156314657
T02,Facebook,Gender,A man,2832,1078.1979341745016,2.626604921264534
T02,Facebook,Gender,A woman,4258,1909.2779947437582,2.2301624026057354
T02,Facebook,Gender,In some other way,36,18.413605380437744,1.9550761111805783
T02,Facebook,Education,College graduate+,3438,1808.400984071447,1.9011270344808495
T02,Facebook,Education,Some College,2314,981.1455631428073,2.358467578029697
T02,Facebook,Education,H.S. graduate or less,1360,654.6068147910308,2.077583015132757
T02,Facebook,Region,Northeast,1173,501.96620459273885,2.3368107041223865
T02,Facebook,Region,Midwest,1589,671.2886804866774,2.367088923424109
T02,Facebook,Region,South,2850,1129.7605845300786,2.522658374725873
T02,Facebook,Region,West,1521,651.3408140333662,2.3351830059310297
T02,Facebook,Income,Lower income,1650,643.7312030159621,2.5631816389659865
T02,Facebook,Income,Middle income,3509,1581.086502052506,2.2193599119622807
T02,Facebook,Income,Upper income,1592,917.5555866845706,1.7350447461743634
T03,Facebook,Total,Total,7139,2952.68268875309,2.4178012853168385
T03,Facebook,Age,18-29,433,236.8581326310208,1.8280985127689509
T03,Facebook,Age,30-49,2353,999.0740168213795,2.355180857856985
T03,Facebook,Age,50-64,2155,1167.1802359050034,1.8463300985636248
T03,Facebook,Age,65+,2185,1251.7600236776896,1.7455422434568868
T03,Facebook,Gender,A man,2833,1078.3494236509594,2.62716327181623
T03,Facebook,Gender,A woman,4259,1909.4072789894021,2.2305351230535657
T03,Facebook,Gender,In some other way,36,18.413605380437744,1.9550761111805783
T03,Facebook,Education,College graduate+,3437,1806.1440010632562,1.9029490439171393
T03,Facebook,Education,Some College,2314,980.7811772617131,2.3593438104721383
T03,Facebook,Education,H.S. graduate or less,1365,657.6998737524756,2.0754147210216978
T03,Facebook,Region,Northeast,1173,501.84236915078344,2.3373873393451174
T03,Facebook,Region,Midwest,1590,671.2043727932155,2.3688761045808127
T03,Facebook,Region,South,2854,1131.3473601503638,2.522655817768191
T03,Facebook,Region,West,1519,650.9339265713476,2.3335701796970407
T03,Facebook,Income,Lower income,1648,642.8490475816989,2.5635878379217134
T03,Facebook,Income,Middle income,3514,1583.2640006309025,2.2194656093991485
T03,Facebook,Income,Upper income,1593,917.7948973806506,1.735681909483652
T04,Facebook,Total,Total,7142,2955.1199463236317,2.4168223726028883
T04,Facebook,Age,18-29,432,236.52959809258778,1.8264099016939808
T04,Facebook,Age,30-49,2353,999.7878840535059,2.3534992147135023
T04,Facebook,Age,50-64,2158,1169.112528399018,1.8458445595097368
T04,Facebook,Age,65+,2186,1253.0597137973336,1.744529790504108
T04,Facebook,Gender,A man,2832,1078.7957590873693,2.6251493632082794
T04,Facebook,Gender,A woman,4263,1911.5540005533576,2.23012271626433
T04,Facebook,Gender,In some other way,36,18.413605380437744,1.9550761111805783
T04,Facebook,Education,College graduate+,3438,1807.6388957219554,1.9019285367982153
T04,Facebook,Education,Some College,2316,981.870784046798,2.3587625150170624
T04,Facebook,Education,H.S. graduate or less,1365,657.7064150742341,2.075394079660809
T04,Facebook,Region,Northeast,1175,502.72633570777924,2.337255712585136
T04,Facebook,Region,Midwest,1591,671.6382977820838,2.368834542720206
T04,Facebook,Region,South,2852,1131.9373547212488,2.519574063091446
T04,Facebook,Region,West,1521,651.4503745032285,2.3347902764809323
T04,Facebook,Income,Lower income,1654,645.7940851871027,2.5611879048424466
T04,Facebook,Income,Middle income,3509,1580.9326872802512,2.2195758416739984
