table_id,platform,variable,weight,eligible_n,valid_n,special_or_invalid_n,weighted_base,percentage_qa,measure,universe
T01,Facebook,FBWHY_a_W144,WEIGHT_W144_FB,7157,7135,22,7236.642947943465,PASS,Get news,DOV_ASKFB_W144 == 1
T02,Facebook,FBWHY_b_W144,WEIGHT_W144_FB,7157,7136,21,7244.062820439742,PASS,Keep up with politics or political issues,DOV_ASKFB_W144 == 1
T03,Facebook,FBWHY_c_W144,WEIGHT_W144_FB,7157,7139,18,7245.881486936548,PASS,Keep up with sports or pop culture,DOV_ASKFB_W144 == 1
T04,Facebook,FBWHY_d_W144,WEIGHT_W144_FB,7157,7142,15,7250.021232487856,PASS,Entertainment,DOV_ASKFB_W144 == 1
T05,Facebook,FBWHY_e_W144,WEIGHT_W144_FB,7157,7144,13,7250.859337207883,PASS,Keep up with friends and family,DOV_ASKFB_W144 == 1
T06,Facebook,FBWHY_f_W144,WEIGHT_W144_FB,7157,7140,17,7242.509455244979,PASS,Connect with others who share your interests,DOV_ASKFB_W144 == 1
T07,Facebook,FBWHY_g_W144,WEIGHT_W144_FB,7157,7143,14,7245.416617740877,PASS,Look at product reviews or recommendations,DOV_ASKFB_W144 == 1
T08,Instagram,IGWHY_a_W144,WEIGHT_W144_IG,4515,4489,26,5171.963071749382,PASS,Get news,DOV_ASKIG_W144 == 1
T09,Instagram,IGWHY_b_W144,WEIGHT_W144_IG,4515,4497,18,5172.221959280528,PASS,Keep up with politics or political issues,DOV_ASKIG_W144 == 1
T10,Instagram,IGWHY_c_W144,WEIGHT_W144_IG,4515,4496,19,5166.078004666779,PASS,Keep up with sports or pop culture,DOV_ASKIG_W144 == 1
T11,Instagram,IGWHY_d_W144,WEIGHT_W144_IG,4515,4496,19,5172.357123653941,PASS,Entertainment,DOV_ASKIG_W144 == 1
T12,Instagram,IGWHY_e_W144,WEIGHT_W144_IG,4515,4501,14,5175.474063303804,PASS,Keep up with friends and family,DOV_ASKIG_W144 == 1
T13,Instagram,IGWHY_f_W144,WEIGHT_W144_IG,4515,4492,23,5164.154283030484,PASS,Connect with others who share your interests,DOV_ASKIG_W144 == 1
T14,Instagram,IGWHY_g_W144,WEIGHT_W144_IG,4515,4501,14,5181.731820424275,PASS,Look at product reviews or recommendations,DOV_ASKIG_W144 == 1
T15,X,XTWHY_a_W144,WEIGHT_W144_XT,2565,2555,10,2570.9094258515333,PASS,Get news,SMUSE_c_W144 == 1
T16,X,XTWHY_b_W144,WEIGHT_W144_XT,2565,2554,11,2570.6472170295583,PASS,Keep up with politics or political issues,SMUSE_c_W144 == 1
T17,X,XTWHY_c_W144,WEIGHT_W144_XT,2565,2555,10,2570.4458027585483,PASS,Keep up with sports or pop culture,SMUSE_c_W144 == 1
T18,X,XTWHY_d_W144,WEIGHT_W144_XT,2565,2551,14,2571.385112102179,PASS,Entertainment,SMUSE_c_W144 == 1
T19,X,XTWHY_e_W144,WEIGHT_W144_XT,2565,2557,8,2567.3440081072986,PASS,Keep up with friends and family,SMUSE_c_W144 == 1
T20,X,XTWHY_f_W144,WEIGHT_W144_XT,2565,2557,8,2577.003145922218,PASS,Connect with others who share your interests,SMUSE_c_W144 == 1
T21,X,XTWHY_g_W144,WEIGHT_W144_XT,2565,2557,8,2572.0932610556893,PASS,Look at product reviews or recommendations,SMUSE_c_W144 == 1
T22,TikTok,TTWHY_a_W144,WEIGHT_W144_TT,2562,2553,9,2932.59499325863,PASS,Get news,SMUSE_i_W144 == 1
T23,TikTok,TTWHY_b_W144,WEIGHT_W144_TT,2562,2556,6,2935.0726670584613,PASS,Keep up with politics or political issues,SMUSE_i_W144 == 1
T24,TikTok,TTWHY_c_W144,WEIGHT_W144_TT,2562,2555,7,2936.1016649223516,PASS,Keep up with sports or pop culture,SMUSE_i_W144 == 1
T25,TikTok,TTWHY_d_W144,WEIGHT_W144_TT,2562,2555,7,2934.5235700011945,PASS,Entertainment,SMUSE_i_W144 == 1
T26,TikTok,TTWHY_e_W144,WEIGHT_W144_TT,2562,2552,10,2934.200076365766,PASS,Keep up with friends and family,SMUSE_i_W144 == 1
T27,TikTok,TTWHY_f_W144,WEIGHT_W144_TT,2562,2555,7,2935.304070139718,PASS,Connect with others who share your interests,SMUSE_i_W144 == 1
T28,TikTok,TTWHY_g_W144,WEIGHT_W144_TT,2562,2553,9,2932.8643924284934,PASS,Look at product reviews or recommendations,SMUSE_i_W144 == 1
