table_id,column,displayed_base,flag
T01,Age | 18-29,433,OK
T01,Age | 30-49,2351,OK
T01,Age | 50-64,2154,OK
T01,Age | 65+,2184,OK
T01,Gender | A man,2833,OK
T01,Gender | A woman,4255,OK
T01,Gender | In some other way,36*,SMALL BASE
T01,Education | College graduate+,3440,OK
T01,Education | Some College,2313,OK
T01,Education | H.S. graduate or less,1359,OK
T01,Region | Northeast,1174,OK
T01,Region | Midwest,1591,OK
T01,Region | South,2849,OK
T01,Region | West,1518,OK
T01,Income | Lower income,1646,OK
T01,Income | Middle income,3512,OK
T01,Income | Upper income,1593,OK
T02,Age | 18-29,432,OK
T02,Age | 30-49,2350,OK
T02,Age | 50-64,2157,OK
T02,Age | 65+,2184,OK
T02,Gender | A man,2832,OK
T02,Gender | A woman,4258,OK
T02,Gender | In some other way,36*,SMALL BASE
T02,Education | College graduate+,3438,OK
T02,Education | Some College,2314,OK
T02,Education | H.S. graduate or less,1360,OK
T02,Region | Northeast,1173,OK
T02,Region | Midwest,1589,OK
T02,Region | South,2850,OK
T02,Region | West,1521,OK
T02,Income | Lower income,1650,OK
T02,Income | Middle income,3509,OK
T02,Income | Upper income,1592,OK
T03,Age | 18-29,433,OK
T03,Age | 30-49,2353,OK
T03,Age | 50-64,2155,OK
T03,Age | 65+,2185,OK
T03,Gender | A man,2833,OK
T03,Gender | A woman,4259,OK
T03,Gender | In some other way,36*,SMALL BASE
T03,Education | College graduate+,3437,OK
T03,Education | Some College,2314,OK
T03,Education | H.S. graduate or less,1365,OK
T03,Region | Northeast,1173,OK
T03,Region | Midwest,1590,OK
T03,Region | South,2854,OK
T03,Region | West,1519,OK
T03,Income | Lower income,1648,OK
T03,Income | Middle income,3514,OK
T03,Income | Upper income,1593,OK
T04,Age | 18-29,432,OK
T04,Age | 30-49,2353,OK
T04,Age | 50-64,2158,OK
T04,Age | 65+,2186,OK
T04,Gender | A man,2832,OK
T04,Gender | A woman,4263,OK
T04,Gender | In some other way,36*,SMALL BASE
T04,Education | College graduate+,3438,OK
T04,Education | Some College,2316,OK
T04,Education | H.S. graduate or less,1365,OK
T04,Region | Northeast,1175,OK
T04,Region | Midwest,1591,OK
T04,Region | South,2852,OK
T04,Region | West,1521,OK
T04,Income | Lower income,1654,OK
T04,Income | Middle income,3509,OK
T04,Income | Upper income,1594,OK
T05,Age | 18-29,433,OK
T05,Age | 30-49,2356,OK
T05,Age | 50-64,2157,OK
T05,Age | 65+,2185,OK
T05,Gender | A man,2834,OK
T05,Gender | A woman,4263,OK
T05,Gender | In some other way,36*,SMALL BASE
T05,Education | College graduate+,3442,OK
T05,Education | Some College,2314,OK
T05,Education | H.S. graduate or less,1365,OK
T05,Region | Northeast,1173,OK
T05,Region | Midwest,1590,OK
T05,Region | South,2855,OK
T05,Region | West,1523,OK
T05,Income | Lower income,1654,OK
T05,Income | Middle income,3514,OK
T05,Income | Upper income,1592,OK
T06,Age | 18-29,433,OK
T06,Age | 30-49,2354,OK
T06,Age | 50-64,2157,OK
T06,Age | 65+,2183,OK
T06,Gender | A man,2836,OK
T06,Gender | A woman,4258,OK
T06,Gender | In some other way,35*,SMALL BASE
T06,Education | College graduate+,3441,OK
T06,Education | Some College,2315,OK
T06,Education | H.S. graduate or less,1361,OK
T06,Region | Northeast,1173,OK
T06,Region | Midwest,1592,OK
T06,Region | South,2853,OK
T06,Region | West,1519,OK
T06,Income | Lower income,1652,OK
T06,Income | Middle income,3510,OK
T06,Income | Upper income,1593,OK
T07,Age | 18-29,433,OK
T07,Age | 30-49,2354,OK
T07,Age | 50-64,2159,OK
T07,Age | 65+,2184,OK
T07,Gender | A man,2836,OK
T07,Gender | A woman,4260,OK
T07,Gender | In some other way,36*,SMALL BASE
T07,Education | College graduate+,3443,OK
T07,Education | Some College,2313,OK
T07,Education | H.S. graduate or less,1365,OK
T07,Region | Northeast,1174,OK
T07,Region | Midwest,1591,OK
T07,Region | South,2853,OK
T07,Region | West,1522,OK
T07,Income | Lower income,1652,OK
T07,Income | Middle income,3513,OK
T07,Income | Upper income,1594,OK
T08,Age | 18-29,541,OK
T08,Age | 30-49,1962,OK
T08,Age | 50-64,1219,OK
T08,Age | 65+,761,OK
T08,Gender | A man,1600,OK
T08,Gender | A woman,2835,OK
