table_id,platform,question,variable,measure,response_codes,universe,weight,banner_1,banner_2,banner_3,banner_4,banner_5,display,show_unweighted_base,show_weighted_percent,significance_testing,special_codes,routing_qa,weight_qa,status
T01,Facebook,FBWHY,FBWHY_a_W144,Get news,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKFB_W144 == 1,WEIGHT_W144_FB,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T02,Facebook,FBWHY,FBWHY_b_W144,Keep up with politics or political issues,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKFB_W144 == 1,WEIGHT_W144_FB,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T03,Facebook,FBWHY,FBWHY_c_W144,Keep up with sports or pop culture,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKFB_W144 == 1,WEIGHT_W144_FB,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T04,Facebook,FBWHY,FBWHY_d_W144,Entertainment,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKFB_W144 == 1,WEIGHT_W144_FB,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T05,Facebook,FBWHY,FBWHY_e_W144,Keep up with friends and family,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKFB_W144 == 1,WEIGHT_W144_FB,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T06,Facebook,FBWHY,FBWHY_f_W144,Connect with others who share your interests,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKFB_W144 == 1,WEIGHT_W144_FB,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T07,Facebook,FBWHY,FBWHY_g_W144,Look at product reviews or recommendations,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKFB_W144 == 1,WEIGHT_W144_FB,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T08,Instagram,IGWHY,IGWHY_a_W144,Get news,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKIG_W144 == 1,WEIGHT_W144_IG,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T09,Instagram,IGWHY,IGWHY_b_W144,Keep up with politics or political issues,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKIG_W144 == 1,WEIGHT_W144_IG,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T10,Instagram,IGWHY,IGWHY_c_W144,Keep up with sports or pop culture,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKIG_W144 == 1,WEIGHT_W144_IG,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T11,Instagram,IGWHY,IGWHY_d_W144,Entertainment,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKIG_W144 == 1,WEIGHT_W144_IG,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T12,Instagram,IGWHY,IGWHY_e_W144,Keep up with friends and family,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKIG_W144 == 1,WEIGHT_W144_IG,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T13,Instagram,IGWHY,IGWHY_f_W144,Connect with others who share your interests,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKIG_W144 == 1,WEIGHT_W144_IG,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T14,Instagram,IGWHY,IGWHY_g_W144,Look at product reviews or recommendations,1=Major reason; 2=Minor reason; 3=Not a reason,DOV_ASKIG_W144 == 1,WEIGHT_W144_IG,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T15,X,XTWHY,XTWHY_a_W144,Get news,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_c_W144 == 1,WEIGHT_W144_XT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
T16,X,XTWHY,XTWHY_b_W144,Keep up with politics or political issues,1=Major reason; 2=Minor reason; 3=Not a reason,SMUSE_c_W144 == 1,WEIGHT_W144_XT,F_AGECAT,F_GENDER,F_EDUCCAT,F_CREGION,F_INC_TIER2,Column %,Yes,Yes,Planned,Exclude 99 from percentage base,PASS,PASS,READY FOR TABULATION
