variable,dtype,n_total,n_valid,n_missing,missing_pct,n_unique,question_id,platform,concept,role,universe,structural_missing,candidate,selection_reason,final_status,exclusion_reason,eligible_n,valid_response_n,special_n,eligible_missing_n,eligible_missing_pct,routing_violation_n
QKEY,int64,10454,10454,0,0.0,10454,,,,,,,,,,,,,,,,
INTERVIEW_START_W144,str,10454,10287,167,1.6,9236,,,,,,,,,,,,,,,,
INTERVIEW_END_W144,str,10454,10287,167,1.6,9448,,,,,,,,,,,,,,,,
DEVICE_TYPE_W144,float64,10454,10287,167,1.6,3,,,,,,,,,,,,,,,,
LANG_W144,float64,10454,10287,167,1.6,2,,,,,,,,,,,,,,,,
XRAND_FB_IG_W144,float64,10454,10287,167,1.6,2,,,,,,,,,,,,,,,,
SMUSE_a_W144,float64,10454,10287,167,1.6,3,SMUSE,Facebook,Platform use,Routing / QA,All respondents,No,Yes,Required to define platform-user universes and validate routing,,,,,,,,
SMUSE_c_W144,float64,10454,10287,167,1.6,3,SMUSE,X,Platform use,Routing / QA,All respondents,No,Yes,Required to define platform-user universes and validate routing,,,,,,,,
SMUSE_d_W144,float64,10454,10287,167,1.6,3,SMUSE,Instagram,Platform use,Routing / QA,All respondents,No,Yes,Required to define platform-user universes and validate routing,,,,,,,,
SMUSE_i_W144,float64,10454,10287,167,1.6,3,SMUSE,TikTok,Platform use,Routing / QA,All respondents,No,Yes,Required to define platform-user universes and validate routing,,,,,,,,
SMUSE2_a_W144,float64,10454,7590,2864,27.4,7,SMUSE2,Facebook,Platform usage frequency,Outcome,Facebook users,Yes,Yes,Directly measures intensity of platform use,,,,,,,,
SMUSE2_c_W144,float64,10454,2565,7889,75.46,7,SMUSE2,X,Platform usage frequency,Outcome,X users,Yes,Yes,Directly measures intensity of platform use,,,,,,,,
SMUSE2_d_W144,float64,10454,4918,5536,52.96,7,SMUSE2,Instagram,Platform usage frequency,Outcome,Instagram users,Yes,Yes,Directly measures intensity of platform use,,,,,,,,
SMUSE2_i_W144,float64,10454,2562,7892,75.49,7,SMUSE2,TikTok,Platform usage frequency,Outcome,TikTok users,Yes,Yes,Directly measures intensity of platform use,,,,,,,,
SOCIALNEWS2_a_W144,float64,10454,7590,2864,27.4,3,SOCIALNEWS2,Facebook,News consumption on platform,Outcome,Facebook users,Yes,Yes,Measures whether users regularly get news from the platform,,,,,,,,
SOCIALNEWS2_c_W144,float64,10454,2565,7889,75.46,3,SOCIALNEWS2,X,News consumption on platform,Outcome,X users,Yes,Yes,Measures whether users regularly get news from the platform,,,,,,,,
SOCIALNEWS2_d_W144,float64,10454,4918,5536,52.96,3,SOCIALNEWS2,Instagram,News consumption on platform,Outcome,Instagram users,Yes,Yes,Measures whether users regularly get news from the platform,,,,,,,,
SOCIALNEWS2_i_W144,float64,10454,2562,7892,75.49,3,SOCIALNEWS2,TikTok,News consumption on platform,Outcome,TikTok users,Yes,Yes,Measures whether users regularly get news from the platform,,,,,,,,
DOV_USE4_W144,float64,10454,8686,1768,16.91,2,DOV_USE4,,Cross-platform usage routing,Routing / QA,Users of at least one studied platform,Yes,Yes,Identifies respondents using all four platforms,,,,,,,,
DOV_ASKFB_W144,float64,10454,8686,1768,16.91,2,DOV_ASKFB,,Facebook module eligibility,Routing / QA,Users of at least one studied platform,Yes,Yes,Defines eligibility for the Facebook module,,,,,,,,
DOV_ASKIG_W144,float64,10454,8686,1768,16.91,2,DOV_ASKIG,,Instagram module eligibility,Routing / QA,Users of at least one studied platform,Yes,Yes,Defines eligibility for the Instagram module,,,,,,,,
FBWHY_a_W144,float64,10454,7157,3297,31.54,4,FBWHY,Facebook,Get news,Outcome,Respondents eligible for Facebook module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,7157,7135,22,0,0.0,0
FBWHY_b_W144,float64,10454,7157,3297,31.54,4,FBWHY,Facebook,Politics or political issues,Outcome,Respondents eligible for Facebook module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,7157,7136,21,0,0.0,0
FBWHY_c_W144,float64,10454,7157,3297,31.54,4,FBWHY,Facebook,Sports or pop culture,Outcome,Respondents eligible for Facebook module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,7157,7139,18,0,0.0,0
FBWHY_d_W144,float64,10454,7157,3297,31.54,4,FBWHY,Facebook,Entertainment,Outcome,Respondents eligible for Facebook module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,7157,7142,15,0,0.0,0
FBWHY_e_W144,float64,10454,7157,3297,31.54,4,FBWHY,Facebook,Friends and family,Outcome,Respondents eligible for Facebook module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,7157,7144,13,0,0.0,0
FBWHY_f_W144,float64,10454,7157,3297,31.54,4,FBWHY,Facebook,Shared interests,Outcome,Respondents eligible for Facebook module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,7157,7140,17,0,0.0,0
FBWHY_g_W144,float64,10454,7157,3297,31.54,4,FBWHY,Facebook,Product reviews or recommendations,Outcome,Respondents eligible for Facebook module,Yes,Yes,Measures motivation for using the platform; comparable across platforms,INCLUDE,,7157,7143,14,0,0.0,0
FBDEMOCRACY_W144,float64,10454,7157,3297,31.54,4,,,,,,,,,,,,,,,,
